Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2008-11-23,Darwin,29.6,34.9,0.0,4.4,10.8,WNW,43.0,W,W,30.0,28.0,66.0,50.0,1007.3,1003.7,6.0,7.0,32.1,34.6,No,No
2012-01-17,Dartmoor,16.1,38.8,0.0,12.0,6.1,N,63.0,N,N,28.0,24.0,35.0,19.0,1011.0,1008.3,,,28.4,36.0,No,No
2016-05-07,CoffsHarbour,12.1,24.5,0.0,,,E,20.0,SW,E,6.0,13.0,76.0,64.0,1021.2,1018.9,,,20.6,23.8,No,No
2016-06-01,Witchcliffe,3.9,19.2,0.2,,,NNE,17.0,,ENE,0.0,6.0,100.0,51.0,1024.3,1021.8,,,9.2,18.7,No,No
2010-05-20,MelbourneAirport,5.1,17.7,0.0,2.0,4.9,N,28.0,NW,S,2.0,9.0,69.0,45.0,1023.4,1020.8,7.0,2.0,10.3,17.0,No,No
2012-04-06,Bendigo,11.8,29.0,0.0,,,WNW,67.0,NE,N,9.0,22.0,69.0,33.0,1016.2,1010.9,2.0,2.0,19.9,28.4,No,No
2009-02-26,WaggaWagga,14.0,31.6,0.0,9.0,12.0,ENE,43.0,E,E,28.0,7.0,51.0,21.0,1017.7,1015.1,1.0,0.0,20.5,29.9,No,No
2014-05-17,PerthAirport,10.6,22.8,0.6,2.2,9.2,SW,30.0,NNE,NW,9.0,17.0,81.0,56.0,1020.1,1017.8,2.0,4.0,16.0,22.1,No,No
2015-02-17,Katherine,25.5,38.5,0.0,7.2,,SE,43.0,WNW,ESE,13.0,22.0,82.0,34.0,1007.3,1003.4,7.0,8.0,28.0,37.5,No,No
2014-06-14,SalmonGums,7.8,16.2,0.4,,,SW,19.0,WNW,S,7.0,6.0,94.0,55.0,,,,,11.1,14.7,No,No
2017-01-06,Sale,18.5,27.4,0.0,,,ESE,43.0,SSW,ESE,9.0,24.0,79.0,60.0,1017.7,1016.4,8.0,,20.7,26.4,No,No
2010-08-09,Albany,8.9,13.8,0.8,0.0,4.2,,,N,ESE,2.0,11.0,78.0,82.0,1030.4,1028.1,4.0,8.0,12.4,12.6,No,No
2012-04-06,Walpole,8.7,18.3,0.0,,,ENE,26.0,,ENE,0.0,9.0,81.0,49.0,1029.0,1026.9,,,12.9,17.5,No,No
2017-06-07,Cairns,17.7,26.9,0.0,,,SSE,48.0,SSE,SE,26.0,30.0,70.0,46.0,1019.1,1016.0,7.0,,22.0,25.7,No,No
2009-01-28,Bendigo,18.2,42.2,0.0,9.2,,NNW,33.0,E,NNW,11.0,7.0,25.0,8.0,1012.8,1010.0,0.0,1.0,29.5,40.7,No,No
2013-03-18,Bendigo,5.8,22.0,0.0,3.4,,S,39.0,WSW,SSE,7.0,20.0,76.0,48.0,1023.4,1021.6,3.0,8.0,12.4,20.1,No,No
2016-02-15,Sydney,22.3,29.3,0.0,8.0,6.9,SW,31.0,W,ESE,15.0,20.0,75.0,62.0,1011.8,1007.7,7.0,3.0,24.1,27.4,No,No
2014-07-26,Albury,4.2,13.6,0.2,,,NW,20.0,S,WNW,4.0,9.0,100.0,77.0,1025.4,1023.9,8.0,7.0,6.7,13.2,No,No
2011-01-03,Watsonia,12.6,20.7,0.0,7.6,9.1,SSW,41.0,SSE,SSE,9.0,17.0,60.0,50.0,1018.0,1016.1,7.0,3.0,14.4,19.3,No,No
2017-04-15,Launceston,3.7,17.0,0.0,,,NW,19.0,,NW,0.0,9.0,76.0,63.0,,,2.0,7.0,8.4,15.7,No,No
2011-10-16,Walpole,11.2,27.6,1.4,,,NE,44.0,NE,SSW,19.0,15.0,81.0,71.0,1017.1,1010.0,,,13.8,23.8,Yes,No
2013-09-02,Newcastle,9.6,23.0,1.4,,,,,,SE,0.0,4.0,84.0,55.0,,,0.0,1.0,15.5,21.5,Yes,No
2015-03-05,Portland,11.9,18.0,5.2,3.8,9.2,WSW,81.0,SSW,WSW,20.0,31.0,50.0,51.0,1019.2,1019.3,2.0,8.0,13.5,16.5,Yes,No
2009-07-07,Ballarat,-0.5,11.4,0.6,,,SSE,46.0,SE,E,9.0,7.0,84.0,58.0,1026.2,1024.0,0.0,,4.6,11.1,No,No
2016-03-11,NorfolkIsland,22.1,25.4,0.0,2.8,1.1,E,41.0,E,E,24.0,24.0,84.0,84.0,1021.0,1019.6,7.0,7.0,23.5,23.5,No,No
